"date","subregion","stage"
"2021-07-27","Warendorf","0"
"2021-07-27","Wesel","0"
"2021-07-27","Wuppertal","0"
"2021-07-28","Bielefeld","0"
"2021-07-28","Bonn","0"
"2021-07-28","Bottrop","0"
"2021-07-28","Coesfeld","0"
"2021-07-28","Dortmund","0"
"2021-07-28","Duisburg","0"
"2021-07-28","Ennepe-Ruhr-Kreis","0"
"2021-07-28","Essen","0"
"2021-07-28","Euskirchen","0"
"2021-07-28","Gelsenkirchen","0"
"2021-07-28","Gütersloh","0"
"2021-07-28","Heinsberg","0"
"2021-07-28","Herford","0"
"2021-07-28","Herne","0"
"2021-07-28","Hochsauerlandkreis","0"
"2021-07-28","Lippe","0"
"2021-07-28","Märkischer Kreis","0"
"2021-07-28","Mönchengladbach","0"
"2021-07-28","Mülheim an der Ruhr","0"
"2021-07-28","Olpe","0"
"2021-07-28","Paderborn","0"
"2021-07-28","Remscheid","0"
"2021-07-28","Rhein-Erft-Kreis","0"
"2021-07-28","Rheinisch-Bergischer Kreis","0"
"2021-07-28","Rhein-Sieg-Kreis","0"
"2021-07-28","Siegen-Wittgenstein","0"
"2021-07-28","Soest","0"
"2021-07-28","Steinfurt","0"
"2021-07-28","Unna","0"
"2021-07-28","Viersen","0"
"2021-07-28","Warendorf","0"
"2021-07-28","Wuppertal","0"
"2021-07-29","Bielefeld","0"
"2021-07-29","Bottrop","0"
"2021-07-29","Coesfeld","0"
"2021-07-29","Dortmund","0"
"2021-07-29","Duisburg","0"
"2021-07-29","Ennepe-Ruhr-Kreis","0"
"2021-07-29","Essen","0"
"2021-07-29","Euskirchen","0"
"2021-07-29","Gelsenkirchen","0"
"2021-07-29","Gütersloh","0"
"2021-07-29","Herford","0"
"2021-07-29","Herne","0"
"2021-07-29","Hochsauerlandkreis","0"
"2021-07-29","Märkischer Kreis","0"
"2021-07-29","Mönchengladbach","0"
"2021-07-29","Mülheim an der Ruhr","0"
"2021-07-29","Olpe","0"
"2021-07-29","Remscheid","0"
"2021-07-29","Rhein-Erft-Kreis","0"
"2021-07-29","Rheinisch-Bergischer Kreis","0"
"2021-07-29","Rhein-Sieg-Kreis","0"
"2021-07-29","Siegen-Wittgenstein","0"
"2021-07-29","Soest","0"
"2021-07-29","Steinfurt","0"
"2021-07-29","Unna","0"
"2021-07-29","Viersen","0"
"2021-07-29","Warendorf","0"
"2021-07-30","Bottrop","0"
"2021-07-30","Coesfeld","0"
"2021-07-30","Dortmund","0"
"2021-07-30","Duisburg","0"
"2021-07-30","Ennepe-Ruhr-Kreis","0"
"2021-07-30","Essen","0"
"2021-07-30","Euskirchen","0"
"2021-07-30","Gelsenkirchen","0"
"2021-07-30","Gütersloh","0"
"2021-07-30","Herford","0"
"2021-07-30","Herne","0"
"2021-07-30","Hochsauerlandkreis","0"
"2021-07-30","Märkischer Kreis","0"
"2021-07-30","Mönchengladbach","0"
"2021-07-30","Mülheim an der Ruhr","0"
"2021-07-30","Olpe","0"
"2021-07-30","Remscheid","0"
"2021-07-30","Rhein-Erft-Kreis","0"
"2021-07-30","Rheinisch-Bergischer Kreis","0"
"2021-07-30","Rhein-Sieg-Kreis","0"
"2021-07-30","Siegen-Wittgenstein","0"
"2021-07-30","Soest","0"
"2021-07-30","Unna","0"
"2021-07-30","Viersen","0"
"2021-07-30","Warendorf","0"
"2021-08-02","Ennepe-Ruhr-Kreis","0"
"2021-08-02","Euskirchen","0"
"2021-08-02","Gelsenkirchen","0"
"2021-08-02","Märkischer Kreis","0"
"2021-08-02","Mülheim an der Ruhr","0"
"2021-08-02","Olpe","0"
"2021-08-02","Remscheid","0"
"2021-08-02","Rheinisch-Bergischer Kreis","0"
"2021-08-02","Siegen-Wittgenstein","0"
"2021-08-02","Soest","0"
"2021-08-02","Unna","0"
"2021-08-02","Warendorf","0"
"2021-08-03","Ennepe-Ruhr-Kreis","0"
"2021-08-03","Euskirchen","0"
"2021-08-03","Gelsenkirchen","0"
"2021-08-03","Märkischer Kreis","0"
"2021-08-03","Mülheim an der Ruhr","0"
"2021-08-03","Olpe","0"
"2021-08-03","Remscheid","0"
"2021-08-03","Rheinisch-Bergischer Kreis","0"
"2021-08-03","Siegen-Wittgenstein","0"
"2021-08-03","Soest","0"
"2021-08-03","Unna","0"
"2021-08-03","Warendorf","0"
"2021-08-04","Ennepe-Ruhr-Kreis","0"
"2021-08-04","Euskirchen","0"
"2021-08-04","Gelsenkirchen","0"
"2021-08-04","Märkischer Kreis","0"
"2021-08-04","Mülheim an der Ruhr","0"
"2021-08-04","Olpe","0"
"2021-08-04","Remscheid","0"
"2021-08-04","Rheinisch-Bergischer Kreis","0"
"2021-08-04","Siegen-Wittgenstein","0"
"2021-08-04","Soest","0"
"2021-08-04","Unna","0"
"2021-08-04","Warendorf","0"
"2021-08-05","Ennepe-Ruhr-Kreis","0"
"2021-08-05","Euskirchen","0"
"2021-08-05","Mülheim an der Ruhr","0"
"2021-08-05","Olpe","0"
"2021-08-05","Remscheid","0"
"2021-08-05","Siegen-Wittgenstein","0"
"2021-08-05","Soest","0"
"2021-08-05","Warendorf","0"
"2021-08-06","Ennepe-Ruhr-Kreis","0"
"2021-08-06","Euskirchen","0"
"2021-08-06","Mülheim an der Ruhr","0"
"2021-08-06","Olpe","0"
"2021-08-06","Warendorf","0"
"2021-08-09","Euskirchen","0"
"2021-08-09","Olpe","0"
"2021-08-10","Euskirchen","0"
"2021-08-10","Olpe","0"
"2021-08-11","Euskirchen","0"
"2021-08-11","Olpe","0"
"2021-08-12","Coesfeld","0"
"2021-08-12","Euskirchen","0"
"2021-08-12","Olpe","0"
"2021-08-13","Coesfeld","0"
"2021-08-13","Euskirchen","0"
"2021-07-24","Städteregion Aachen","1"
"2021-07-24","Borken","1"
"2021-07-24","Düren","1"
"2021-07-24","Düsseldorf","1"
"2021-07-24","Hamm","1"
"2021-07-24","Köln","1"
"2021-07-24","Krefeld","1"
"2021-07-24","Leverkusen","1"
"2021-07-24","Minden-Lübbecke","1"
"2021-07-24","Münster","1"
"2021-07-24","Oberbergischer Kreis","1"
"2021-07-24","Oberhausen","1"
"2021-07-24","Rhein-Kreis Neuss","1"
"2021-07-24","Solingen","1"
"2021-07-26","Städteregion Aachen","1"
"2021-07-26","Borken","1"
"2021-07-26","Düren","1"
"2021-07-26","Düsseldorf","1"
"2021-07-26","Hamm","1"
"2021-07-26","Höxter","1"
"2021-07-26","Kleve","1"
"2021-07-26","Köln","1"
"2021-07-26","Krefeld","1"
"2021-07-26","Leverkusen","1"
"2021-07-26","Minden-Lübbecke","1"
"2021-07-26","Münster","1"
"2021-07-26","Oberbergischer Kreis","1"
"2021-07-26","Oberhausen","1"
"2021-07-26","Rhein-Kreis Neuss","1"
"2021-07-27","Städteregion Aachen","1"
"2021-07-27","Bochum","1"
"2021-07-27","Borken","1"
"2021-07-27","Düren","1"
"2021-07-27","Hagen","1"
"2021-07-27","Hamm","1"
"2021-07-27","Höxter","1"
"2021-07-27","Kleve","1"
"2021-07-27","Köln","1"
"2021-07-27","Krefeld","1"
"2021-07-27","Leverkusen","1"
"2021-07-27","Mettmann","1"
"2021-07-27","Minden-Lübbecke","1"
"2021-07-27","Münster","1"
"2021-07-27","Oberbergischer Kreis","1"
"2021-07-27","Oberhausen","1"
"2021-07-27","Recklinghausen","1"
"2021-07-27","Rhein-Kreis Neuss","1"
"2021-07-28","Städteregion Aachen","1"
"2021-07-28","Bochum","1"
"2021-07-28","Borken","1"
"2021-07-28","Düren","1"
"2021-07-28","Hagen","1"
"2021-07-28","Hamm","1"
"2021-07-28","Höxter","1"
"2021-07-28","Kleve","1"
"2021-07-28","Köln","1"
"2021-07-28","Krefeld","1"
"2021-07-28","Leverkusen","1"
"2021-07-28","Mettmann","1"
"2021-07-28","Minden-Lübbecke","1"
"2021-07-28","Münster","1"
"2021-07-28","Oberbergischer Kreis","1"
"2021-07-28","Oberhausen","1"
"2021-07-28","Recklinghausen","1"
"2021-07-28","Rhein-Kreis Neuss","1"
"2021-07-28","Wesel","1"
"2021-07-29","Städteregion Aachen","1"
"2021-07-29","Bochum","1"
"2021-07-29","Bonn","1"
"2021-07-29","Borken","1"
"2021-07-29","Düren","1"
"2021-07-29","Hagen","1"
"2021-07-29","Hamm","1"
"2021-07-29","Heinsberg","1"
"2021-07-29","Höxter","1"
"2021-07-29","Kleve","1"
"2021-07-29","Köln","1"
"2021-07-29","Krefeld","1"
"2021-07-29","Leverkusen","1"
"2021-07-29","Lippe","1"
"2021-07-29","Mettmann","1"
"2021-07-29","Minden-Lübbecke","1"
"2021-07-29","Münster","1"
"2021-07-29","Oberbergischer Kreis","1"
"2021-07-29","Oberhausen","1"
"2021-07-29","Paderborn","1"
"2021-07-29","Recklinghausen","1"
"2021-07-29","Rhein-Kreis Neuss","1"
"2021-07-29","Wesel","1"
"2021-07-29","Wuppertal","1"
"2021-07-30","Städteregion Aachen","1"
"2021-07-30","Bielefeld","1"
"2021-07-30","Bochum","1"
"2021-07-30","Bonn","1"
"2021-07-30","Borken","1"
"2021-07-30","Düren","1"
"2021-07-30","Hagen","1"
"2021-07-30","Hamm","1"
"2021-07-30","Heinsberg","1"
"2021-07-30","Höxter","1"
"2021-07-30","Kleve","1"
"2021-07-30","Köln","1"
"2021-07-30","Krefeld","1"
"2021-07-30","Leverkusen","1"
"2021-07-30","Lippe","1"
"2021-07-30","Mettmann","1"
"2021-07-30","Minden-Lübbecke","1"
"2021-07-30","Münster","1"
"2021-07-30","Oberbergischer Kreis","1"
"2021-07-30","Oberhausen","1"
"2021-07-30","Paderborn","1"
"2021-07-30","Recklinghausen","1"
"2021-07-30","Rhein-Kreis Neuss","1"
"2021-07-30","Steinfurt","1"
"2021-07-30","Wesel","1"
"2021-07-30","Wuppertal","1"
"2021-08-02","Städteregion Aachen","1"
"2021-08-02","Bielefeld","1"
"2021-08-02","Bochum","1"
"2021-08-02","Bonn","1"
"2021-08-02","Borken","1"
"2021-08-02","Bottrop","1"
"2021-08-02","Coesfeld","1"
"2021-08-02","Dortmund","1"
"2021-08-02","Duisburg","1"
"2021-08-02","Düren","1"
"2021-08-02","Essen","1"
"2021-08-02","Gütersloh","1"
"2021-08-02","Hagen","1"
"2021-08-02","Hamm","1"
"2021-08-02","Heinsberg","1"
"2021-08-02","Herford","1"
"2021-08-02","Herne","1"
"2021-08-02","Hochsauerlandkreis","1"
"2021-08-02","Höxter","1"
"2021-08-02","Kleve","1"
"2021-08-02","Köln","1"
"2021-08-02","Krefeld","1"
"2021-08-02","Leverkusen","1"
"2021-08-02","Lippe","1"
"2021-08-02","Mettmann","1"
"2021-08-02","Minden-Lübbecke","1"
"2021-08-02","Mönchengladbach","1"
"2021-08-02","Münster","1"
"2021-08-02","Oberbergischer Kreis","1"
"2021-08-02","Oberhausen","1"
"2021-08-02","Paderborn","1"
"2021-08-02","Recklinghausen","1"
"2021-08-02","Rhein-Erft-Kreis","1"
"2021-08-02","Rhein-Kreis Neuss","1"
"2021-08-02","Rhein-Sieg-Kreis","1"
"2021-08-02","Steinfurt","1"
"2021-08-02","Viersen","1"
"2021-08-02","Wesel","1"
"2021-08-02","Wuppertal","1"
"2021-08-03","Städteregion Aachen","1"
"2021-08-03","Bielefeld","1"
"2021-08-03","Bochum","1"
"2021-08-03","Bonn","1"
"2021-08-03","Borken","1"
"2021-08-03","Bottrop","1"
"2021-08-03","Coesfeld","1"
"2021-08-03","Dortmund","1"
"2021-08-03","Duisburg","1"
"2021-08-03","Düren","1"
"2021-08-03","Essen","1"
"2021-08-03","Gütersloh","1"
"2021-08-03","Hagen","1"
"2021-08-03","Hamm","1"
"2021-08-03","Heinsberg","1"
"2021-08-03","Herford","1"
"2021-08-03","Herne","1"
"2021-08-03","Hochsauerlandkreis","1"
"2021-08-03","Höxter","1"
"2021-08-03","Kleve","1"
"2021-08-03","Köln","1"
"2021-08-03","Krefeld","1"
"2021-08-03","Leverkusen","1"
"2021-08-03","Lippe","1"
"2021-08-03","Mettmann","1"
"2021-08-03","Minden-Lübbecke","1"
"2021-08-03","Mönchengladbach","1"
"2021-08-03","Münster","1"
"2021-08-03","Oberbergischer Kreis","1"
"2021-08-03","Oberhausen","1"
"2021-08-03","Paderborn","1"
"2021-08-03","Recklinghausen","1"
"2021-08-03","Rhein-Erft-Kreis","1"
"2021-08-03","Rhein-Kreis Neuss","1"
"2021-08-03","Rhein-Sieg-Kreis","1"
"2021-08-03","Steinfurt","1"
"2021-08-03","Viersen","1"
"2021-08-03","Wesel","1"
"2021-08-03","Wuppertal","1"
"2021-08-04","Städteregion Aachen","1"
"2021-08-04","Bielefeld","1"
"2021-08-04","Bochum","1"
"2021-08-04","Bonn","1"
"2021-08-04","Borken","1"
"2021-08-04","Bottrop","1"
"2021-08-04","Coesfeld","1"
"2021-08-04","Dortmund","1"
"2021-08-04","Duisburg","1"
"2021-08-04","Düren","1"
"2021-08-04","Essen","1"
"2021-08-04","Gütersloh","1"
"2021-08-04","Hagen","1"
"2021-08-04","Hamm","1"
"2021-08-04","Heinsberg","1"
"2021-08-04","Herford","1"
"2021-08-04","Herne","1"
"2021-08-04","Hochsauerlandkreis","1"
"2021-08-04","Höxter","1"
"2021-08-04","Kleve","1"
"2021-08-04","Köln","1"
"2021-08-04","Krefeld","1"
"2021-08-04","Leverkusen","1"
"2021-08-04","Lippe","1"
"2021-08-04","Mettmann","1"
"2021-08-04","Minden-Lübbecke","1"
"2021-08-04","Mönchengladbach","1"
"2021-08-04","Münster","1"
"2021-08-04","Oberbergischer Kreis","1"
"2021-08-04","Oberhausen","1"
"2021-08-04","Paderborn","1"
"2021-08-04","Recklinghausen","1"
"2021-08-04","Rhein-Erft-Kreis","1"
"2021-08-04","Rhein-Kreis Neuss","1"
"2021-08-04","Rhein-Sieg-Kreis","1"
"2021-08-04","Steinfurt","1"
"2021-08-04","Viersen","1"
"2021-08-04","Wesel","1"
"2021-08-04","Wuppertal","1"
"2021-08-05","Städteregion Aachen","1"
"2021-08-05","Bielefeld","1"
"2021-08-05","Bochum","1"
"2021-08-05","Bonn","1"
"2021-08-05","Borken","1"
"2021-08-05","Bottrop","1"
"2021-08-05","Coesfeld","1"
"2021-08-05","Dortmund","1"
"2021-08-05","Duisburg","1"
"2021-08-05","Düren","1"
"2021-08-05","Essen","1"
"2021-08-05","Gelsenkirchen","1"
"2021-08-05","Gütersloh","1"
"2021-08-05","Hagen","1"
"2021-08-05","Hamm","1"
"2021-08-05","Heinsberg","1"
"2021-08-05","Herford","1"
"2021-08-05","Herne","1"
"2021-08-05","Hochsauerlandkreis","1"
"2021-08-05","Höxter","1"
"2021-08-05","Kleve","1"
"2021-08-05","Köln","1"
"2021-08-05","Krefeld","1"
"2021-08-05","Leverkusen","1"
"2021-08-05","Lippe","1"
"2021-08-05","Märkischer Kreis","1"
"2021-08-05","Mettmann","1"
"2021-08-05","Minden-Lübbecke","1"
"2021-08-05","Mönchengladbach","1"
"2021-08-05","Münster","1"
"2021-08-05","Oberbergischer Kreis","1"
"2021-08-05","Oberhausen","1"
"2021-08-05","Paderborn","1"
"2021-08-05","Recklinghausen","1"
"2021-08-05","Rhein-Erft-Kreis","1"
"2021-08-05","Rheinisch-Bergischer Kreis","1"
"2021-08-05","Rhein-Kreis Neuss","1"
"2021-08-05","Rhein-Sieg-Kreis","1"
"2021-08-05","Steinfurt","1"
"2021-08-05","Unna","1"
"2021-08-05","Viersen","1"
"2021-08-05","Wesel","1"
"2021-08-05","Wuppertal","1"
"2021-08-06","Städteregion Aachen","1"
"2021-08-06","Bielefeld","1"
"2021-08-06","Bochum","1"
"2021-08-06","Bonn","1"
"2021-08-06","Borken","1"
"2021-08-06","Bottrop","1"
"2021-08-06","Coesfeld","1"
"2021-08-06","Dortmund","1"
"2021-08-06","Duisburg","1"
"2021-08-06","Düren","1"
"2021-08-06","Essen","1"
"2021-08-06","Gelsenkirchen","1"
"2021-08-06","Gütersloh","1"
"2021-08-06","Hagen","1"
"2021-08-06","Hamm","1"
"2021-08-06","Heinsberg","1"
"2021-08-06","Herford","1"
"2021-08-06","Herne","1"
"2021-08-06","Hochsauerlandkreis","1"
"2021-08-06","Höxter","1"
"2021-08-06","Kleve","1"
"2021-08-06","Köln","1"
"2021-08-06","Krefeld","1"
"2021-08-06","Leverkusen","1"
"2021-08-06","Lippe","1"
"2021-08-06","Märkischer Kreis","1"
"2021-08-06","Mettmann","1"
"2021-08-06","Minden-Lübbecke","1"
"2021-08-06","Mönchengladbach","1"
"2021-08-06","Münster","1"
"2021-08-06","Oberbergischer Kreis","1"
"2021-08-06","Oberhausen","1"
"2021-08-06","Paderborn","1"
"2021-08-06","Recklinghausen","1"
"2021-08-06","Remscheid","1"
"2021-08-06","Rhein-Erft-Kreis","1"
"2021-08-06","Rheinisch-Bergischer Kreis","1"
"2021-08-06","Rhein-Kreis Neuss","1"
"2021-08-06","Rhein-Sieg-Kreis","1"
"2021-08-06","Siegen-Wittgenstein","1"
"2021-08-06","Soest","1"
"2021-08-06","Steinfurt","1"
"2021-08-06","Unna","1"
"2021-08-06","Viersen","1"
"2021-08-06","Wesel","1"
"2021-08-06","Wuppertal","1"
"2021-08-09","Städteregion Aachen","1"
"2021-08-09","Bielefeld","1"
"2021-08-09","Bochum","1"
"2021-08-09","Bonn","1"
"2021-08-09","Borken","1"
"2021-08-09","Bottrop","1"
"2021-08-09","Coesfeld","1"
"2021-08-09","Dortmund","1"
"2021-08-09","Duisburg","1"
"2021-08-09","Düren","1"
"2021-08-09","Ennepe-Ruhr-Kreis","1"
"2021-08-09","Essen","1"
"2021-08-09","Gelsenkirchen","1"
"2021-08-09","Gütersloh","1"
"2021-08-09","Hagen","1"
"2021-08-09","Hamm","1"
"2021-08-09","Heinsberg","1"
"2021-08-09","Herford","1"
"2021-08-09","Herne","1"
"2021-08-09","Hochsauerlandkreis","1"
"2021-08-09","Höxter","1"
"2021-08-09","Kleve","1"
"2021-08-09","Köln","1"
"2021-08-09","Krefeld","1"
"2021-08-09","Leverkusen","1"
"2021-08-09","Lippe","1"
"2021-08-09","Märkischer Kreis","1"
"2021-08-09","Mettmann","1"
"2021-08-09","Minden-Lübbecke","1"
"2021-08-09","Mönchengladbach","1"
"2021-08-09","Mülheim an der Ruhr","1"
"2021-08-09","Münster","1"
"2021-08-09","Oberbergischer Kreis","1"
"2021-08-09","Oberhausen","1"
"2021-08-09","Paderborn","1"
"2021-08-09","Recklinghausen","1"
"2021-08-09","Remscheid","1"
"2021-08-09","Rhein-Erft-Kreis","1"
"2021-08-09","Rheinisch-Bergischer Kreis","1"
"2021-08-09","Rhein-Kreis Neuss","1"
"2021-08-09","Rhein-Sieg-Kreis","1"
"2021-08-09","Siegen-Wittgenstein","1"
"2021-08-09","Soest","1"
"2021-08-09","Steinfurt","1"
"2021-08-09","Unna","1"
"2021-08-09","Viersen","1"
"2021-08-09","Warendorf","1"
"2021-08-09","Wesel","1"
"2021-08-09","Wuppertal","1"
"2021-08-10","Städteregion Aachen","1"
"2021-08-10","Bielefeld","1"
"2021-08-10","Bochum","1"
"2021-08-10","Bonn","1"
"2021-08-10","Borken","1"
"2021-08-10","Bottrop","1"
"2021-08-10","Coesfeld","1"
"2021-08-10","Dortmund","1"
"2021-08-10","Duisburg","1"
"2021-08-10","Düren","1"
"2021-08-10","Ennepe-Ruhr-Kreis","1"
"2021-08-10","Essen","1"
"2021-08-10","Gelsenkirchen","1"
"2021-08-10","Gütersloh","1"
"2021-08-10","Hagen","1"
"2021-08-10","Hamm","1"
"2021-08-10","Heinsberg","1"
"2021-08-10","Herford","1"
"2021-08-10","Herne","1"
"2021-08-10","Hochsauerlandkreis","1"
"2021-08-10","Höxter","1"
"2021-08-10","Kleve","1"
"2021-08-10","Köln","1"
"2021-08-10","Krefeld","1"
"2021-08-10","Leverkusen","1"
"2021-08-10","Lippe","1"
"2021-08-10","Märkischer Kreis","1"
"2021-08-10","Mettmann","1"
"2021-08-10","Minden-Lübbecke","1"
"2021-08-10","Mönchengladbach","1"
"2021-08-10","Mülheim an der Ruhr","1"
"2021-08-10","Münster","1"
"2021-08-10","Oberbergischer Kreis","1"
"2021-08-10","Oberhausen","1"
"2021-08-10","Paderborn","1"
"2021-08-10","Recklinghausen","1"
"2021-08-10","Remscheid","1"
"2021-08-10","Rheinisch-Bergischer Kreis","1"
"2021-08-10","Rhein-Kreis Neuss","1"
"2021-08-10","Rhein-Sieg-Kreis","1"
"2021-08-10","Siegen-Wittgenstein","1"
"2021-08-10","Soest","1"
"2021-08-10","Steinfurt","1"
"2021-08-10","Unna","1"
"2021-08-10","Viersen","1"
"2021-08-10","Warendorf","1"
"2021-08-10","Wesel","1"
"2021-08-10","Wuppertal","1"
"2021-08-11","Städteregion Aachen","1"
"2021-08-11","Bielefeld","1"
"2021-08-11","Bochum","1"
"2021-08-11","Bonn","1"
"2021-08-11","Borken","1"
"2021-08-11","Bottrop","1"
"2021-08-11","Coesfeld","1"
"2021-08-11","Dortmund","1"
"2021-08-11","Duisburg","1"
"2021-08-11","Düren","1"
"2021-08-11","Ennepe-Ruhr-Kreis","1"
"2021-08-11","Essen","1"
"2021-08-11","Gelsenkirchen","1"
"2021-08-11","Gütersloh","1"
"2021-08-11","Hagen","1"
"2021-08-11","Hamm","1"
"2021-08-11","Heinsberg","1"
"2021-08-11","Herford","1"
"2021-08-11","Herne","1"
"2021-08-11","Hochsauerlandkreis","1"
"2021-08-11","Höxter","1"
"2021-08-11","Kleve","1"
"2021-08-11","Köln","1"
"2021-08-11","Krefeld","1"
"2021-08-11","Leverkusen","1"
"2021-08-11","Lippe","1"
"2021-08-11","Märkischer Kreis","1"
"2021-08-11","Mettmann","1"
"2021-08-11","Minden-Lübbecke","1"
"2021-08-11","Mönchengladbach","1"
"2021-08-11","Mülheim an der Ruhr","1"
"2021-08-11","Münster","1"
"2021-08-11","Oberbergischer Kreis","1"
"2021-08-11","Oberhausen","1"
"2021-08-11","Paderborn","1"
"2021-08-11","Recklinghausen","1"
"2021-08-11","Remscheid","1"
"2021-08-11","Rheinisch-Bergischer Kreis","1"
"2021-08-11","Rhein-Kreis Neuss","1"
"2021-08-11","Rhein-Sieg-Kreis","1"
"2021-08-11","Siegen-Wittgenstein","1"
"2021-08-11","Soest","1"
"2021-08-11","Steinfurt","1"
"2021-08-11","Unna","1"
"2021-08-11","Viersen","1"
"2021-08-11","Warendorf","1"
"2021-08-11","Wesel","1"
"2021-08-11","Wuppertal","1"
"2021-08-12","Städteregion Aachen","1"
"2021-08-12","Bielefeld","1"
"2021-08-12","Bochum","1"
"2021-08-12","Bonn","1"
"2021-08-12","Borken","1"
"2021-08-12","Bottrop","1"
"2021-08-12","Dortmund","1"
"2021-08-12","Duisburg","1"
"2021-08-12","Düren","1"
"2021-08-12","Ennepe-Ruhr-Kreis","1"
"2021-08-12","Essen","1"
"2021-08-12","Gelsenkirchen","1"
"2021-08-12","Gütersloh","1"
"2021-08-12","Hagen","1"
"2021-08-12","Hamm","1"
"2021-08-12","Heinsberg","1"
"2021-08-12","Herford","1"
"2021-08-12","Herne","1"
"2021-08-12","Hochsauerlandkreis","1"
"2021-08-12","Höxter","1"
"2021-08-12","Kleve","1"
"2021-08-12","Krefeld","1"
"2021-08-12","Leverkusen","1"
"2021-08-12","Lippe","1"
"2021-08-12","Märkischer Kreis","1"
"2021-08-12","Mettmann","1"
"2021-08-12","Minden-Lübbecke","1"
"2021-08-12","Mönchengladbach","1"
"2021-08-12","Mülheim an der Ruhr","1"
"2021-08-12","Münster","1"
"2021-08-12","Oberhausen","1"
"2021-08-12","Paderborn","1"
"2021-08-12","Recklinghausen","1"
"2021-08-12","Remscheid","1"
"2021-08-12","Rheinisch-Bergischer Kreis","1"
"2021-08-12","Rhein-Kreis Neuss","1"
